minIron;minCalcium;minSodium;minPotassium;minPhosphorus;minZinc;minThiamine;minRiboflavin;minNiacine;minVitC;minVitB6;minVitB9;minVitA;minVitE;minVitD;maxIron;maxCalcium;maxSodium;maxPotassium;maxPhosphorus;maxZinc;maxThiamine;maxRiboflavin;maxNiacine;maxVitC;maxVitB6;maxVitB9;maxVitA;maxVitE;maxVitD;idIron;idCalcium;idSodium;idPotassium;idPhosphorus;idZinc;idThiamine;idRiboflavin;idNiacine;idVitC;idVitB6;idVitB9;idVitA;idVitE;idVitD
7;ND(0);0,4;0,7;ND(0);ND(0);ND(0);ND(0);ND(0);ND(0);ND(0);ND(0);ND(0);ND(0);ND(0);ND(inf);1500;ND;ND(inf);ND(inf);5;ND(inf);ND(inf);ND(inf);ND(inf);ND(inf);ND(inf);ND(inf);ND(inf);25;11;260;0,4;0,7;275;3;0,3;0,4;4;35;0,3;90;450;4;10
4;500;0,7;1,9;380;2;0,4;0,5;5;28;0,4;130;180;5;10;ND(inf);2500;1;ND(inf);ND(inf);7;ND(inf);ND(inf);ND(inf);ND(inf);5;200;800;100;50;8;700;0,7;1,9;460;3;0,5;0,6;7;40;0,5;150;400;5;15
4;500;0,7;1,9;380;2;0,4;0,5;5;28;0,4;130;180;5;10;ND(inf);2500;1;ND(inf);ND(inf);7;ND(inf);ND(inf);ND(inf);ND(inf);5;200;800;100;50;8;700;0,7;1,9;460;3;0,5;0,6;7;40;0,5;150;400;5;15
4;500;0,7;1,9;380;2;0,4;0,5;5;28;0,4;130;180;5;10;ND(inf);2500;1;ND(inf);ND(inf);7;ND(inf);ND(inf);ND(inf);ND(inf);5;200;800;100;50;8;700;0,7;1,9;460;3;0,5;0,6;7;40;0,5;150;400;5;15
5;800;0,9;2,3;405;4;0,5;0,6;6;33;0,5;160;220;6;10;ND(inf);2500;1,2;ND(inf);ND(inf);10;ND(inf);ND(inf);ND(inf);ND(inf);7;300;1100;120;50;11;1000;0,9;2,3;500;5;0,6;0,7;8;50;0,6;190;450;6;15
5;800;0,9;2,3;405;4;0,5;0,6;6;33;0,5;160;220;6;10;ND(inf);2500;1,2;ND(inf);ND(inf);10;ND(inf);ND(inf);ND(inf);ND(inf);7;300;1100;120;50;11;1000;0,9;2,3;500;5;0,6;0,7;8;50;0,6;190;450;6;15
5;800;0,9;2,3;405;4;0,5;0,6;6;33;0,5;160;220;6;10;ND(inf);2500;1,2;ND(inf);ND(inf);10;ND(inf);ND(inf);ND(inf);ND(inf);7;300;1100;120;50;11;1000;0,9;2,3;500;5;0,6;0,7;8;50;0,6;190;450;6;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND(inf);2500;1,5;ND(inf);ND(inf);13;ND(inf);ND(inf);ND(inf);ND(inf);10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND(inf);2500;1,5;ND(inf);ND(inf);13;ND(inf);ND(inf);ND(inf);ND(inf);10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND(inf);2500;1,5;ND(inf);ND(inf);13;ND(inf);ND(inf);ND(inf);ND(inf);10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND(inf);2500;1,5;ND(inf);ND(inf);13;ND(inf);ND(inf);ND(inf);ND(inf);10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
10;1100;1,5;3,9;1055;7;0,8;1;12;53;1;280;400;11;10;ND(inf);3000;2;ND(inf);ND(inf);18;ND(inf);ND(inf);ND(inf);ND(inf);15;600;2000;220;100;18;1300;1,5;3,9;1250;9;1;1,2;16;75;1,2;340;600;11;15
10;1100;1,5;3,9;1055;7;0,8;1;12;53;1;280;400;11;10;ND(inf);3000;2;ND(inf);ND(inf);18;ND(inf);ND(inf);ND(inf);ND(inf);15;600;2000;220;100;18;1300;1,5;3,9;1250;9;1;1,2;16;75;1,2;340;600;11;15
10;1100;1,5;3,9;1055;7;0,8;1;12;53;1;280;400;11;10;ND(inf);3000;2;ND(inf);ND(inf);18;ND(inf);ND(inf);ND(inf);ND(inf);15;600;2000;220;100;18;1300;1,5;3,9;1250;9;1;1,2;16;75;1,2;340;600;11;15
