minIron;minCalcium;minSodium;minPotassium;minPhosphorus;minZinc;minThiamine;minRiboflavin;minNiacine;minVitC;minVitB6;minVitB9;minVitA;minVitE;minVitD;maxIron;maxCalcium;maxSodium;maxPotassium;maxPhosphorus;maxZinc;maxThiamine;maxRiboflavin;maxNiacine;maxVitC;maxVitB6;maxVitB9;maxVitA;maxVitE;maxVitD;idIron;idCalcium;idSodium;idPotassium;idPhosphorus;idZinc;idThiamine;idRiboflavin;idNiacine;idVitC;idVitB6;idVitB9;idVitA;idVitE;idVitD
7;ND;0,4;0,7;ND;ND;ND;ND;ND;ND;ND;ND;ND;4;ND;ND;1500;ND;ND;ND;5;ND;ND;ND;ND;ND;ND;ND;ND;25;11;260;0,4;0,7;275;3;0,3;0,4;4;35;0,3;90;450;4;10
4;500;0,7;1,9;380;2;0,4;0,5;5;28;0,4;130;180;5;10;ND;2500;1;ND;ND;7;ND;ND;ND;ND;5;200;800;100;50;8;700;0,7;1,9;460;3;0,5;0,6;7;40;0,5;150;400;5;15
4;500;0,7;1,9;380;2;0,4;0,5;5;28;0,4;130;180;5;10;ND;2500;1;ND;ND;7;ND;ND;ND;ND;5;200;800;100;50;8;700;0,7;1,9;460;3;0,5;0,6;7;40;0,5;150;400;5;15
4;500;0,7;1,9;380;2;0,4;0,5;5;28;0,4;130;180;5;10;ND;2500;1;ND;ND;7;ND;ND;ND;ND;5;200;800;100;50;8;700;0,7;1,9;460;3;0,5;0,6;7;40;0,5;150;400;5;15
5;800;0,9;2,3;405;4;0,5;0,6;6;33;0,5;160;220;6;10;ND;2500;1,2;ND;ND;10;ND;ND;ND;ND;7;300;1100;120;50;11;1000;0,9;2,3;500;5;0,6;0,7;8;50;0,6;190;450;6;15
5;800;0,9;2,3;405;4;0,5;0,6;6;33;0,5;160;220;6;10;ND;2500;1,2;ND;ND;10;ND;ND;ND;ND;7;300;1100;120;50;11;1000;0,9;2,3;500;5;0,6;0,7;8;50;0,6;190;450;6;15
5;800;0,9;2,3;405;4;0,5;0,6;6;33;0,5;160;220;6;10;ND;2500;1,2;ND;ND;10;ND;ND;ND;ND;7;300;1100;120;50;11;1000;0,9;2,3;500;5;0,6;0,7;8;50;0,6;190;450;6;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND;2500;1,5;ND;ND;13;ND;ND;ND;ND;10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND;2500;1,5;ND;ND;13;ND;ND;ND;ND;10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND;2500;1,5;ND;ND;13;ND;ND;ND;ND;10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
5;800;1,1;2,8;730;6;0,6;0,8;8;45;0,7;210;300;8;10;ND;2500;1,5;ND;ND;13;ND;ND;ND;ND;10;400;1500;160;50;13;1100;1,1;2,8;875;8;0,8;1;11;65;0,9;260;500;8;15
7;1100;1,5;3,9;1055;9;0,9;1,2;12;67;1;280;450;12;10;ND;3000;2;ND;ND;18;ND;ND;ND;ND;15;600;2000;220;100;10;1300;1,5;3,9;1250;9;1,1;1,4;16;95;1,2;340;600;12;15
7;1100;1,5;3,9;1055;9;0,9;1,2;12;67;1;280;450;12;10;ND;3000;2;ND;ND;18;ND;ND;ND;ND;15;600;2000;220;100;10;1300;1,5;3,9;1250;9;1,1;1,4;16;95;1,2;340;600;12;15
7;1100;1,5;3,9;1055;9;0,9;1,2;12;67;1;280;450;12;10;ND;3000;2;ND;ND;18;ND;ND;ND;ND;15;600;2000;220;100;10;1300;1,5;3,9;1250;9;1,1;1,4;16;95;1,2;340;600;12;15
7;1100;1,5;3,9;1055;9;0,9;1,2;12;67;1;280;450;12;10;ND;3000;2;ND;ND;18;ND;ND;ND;ND;15;600;2000;220;100;10;1300;1,5;3,9;1250;9;1,1;1,4;16;95;1,2;340;600;12;15
9;1100;1,5;3,9;1055;9;1;1,3;14;75;1,1;320;550;12;10;ND;3000;2;ND;ND;22;ND;ND;ND;ND;20;800;2600;260;100;13;1300;1,5;3,9;1250;11;1,2;1,6;18;105;1,3;400;700;12;15
9;1100;1,5;3,9;1055;9;1;1,3;14;75;1,1;320;550;12;10;ND;3000;2;ND;ND;22;ND;ND;ND;ND;20;800;2600;260;100;13;1300;1,5;3,9;1250;11;1,2;1,6;18;105;1,3;400;700;12;15
9;1100;1,5;3,9;1055;9;1;1,3;14;75;1,1;320;550;12;10;ND;3000;2;ND;ND;22;ND;ND;ND;ND;20;800;2600;260;100;13;1300;1,5;3,9;1250;11;1,2;1,6;18;105;1,3;400;700;12;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
7;800;1,5;3,9;580;9;1;1,3;14;75;1,1;320;500;13;10;ND;2500;2;ND;ND;25;ND;ND;ND;ND;25;1000;3000;300;100;10;1000;1,5;3,9;700;11;1,2;1,6;18;105;1,3;400;700;13;15
